00:00:24.590;A;$GPRMC,171537,A,3350.975,N,11823.991,W,0.0,096.5,060401,013.0,E,D*07
00:00:24.735;A;$GPVTG,096.5,T,083.5,M,0.0,N,0.0,K,D*22
00:00:24.825;A;$GPGSA,A,2,04,09,07,24,02,05,26,,,,,,,1.1,*3C
00:00:24.919;A;$GPGSV,2,1,07,04,62,120,47,09,52,292,53,07,42,044,41,24,38,179,45*7B
00:00:25.178;I;$POSMGYR,-664,-80,17704*68
00:00:25.178;I;$POSMACC,-637,-338,43*61
00:00:25.176;I;$POSMVCC,4855*77
00:00:25.064;A;$GPGSV,2,2,07,02,34,101,43,05,18,304,40,26,09,223,36,,,,*48
00:00:25.193;A;$PRAYA,6,1,122,0,0,2,36,1,1,,,,,*5A
00:00:25.268;A;$GPDTM,W84,,0.000000,N,0.000000,E,0.0,W84*6F
00:00:25.364;A;$GPGGA,171538,3350.974,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*19
00:00:25.513;A;$GPGGA,171537,3350.975,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*17
00:00:25.648;A;$GPGLL,3350.975,N,11823.991,W,171537,A,D*50
00:00:25.741;A;$GPRMC,171537,A,3350.975,N,11823.991,W,0.0,096.5,060401,013.0,E,D*07
00:00:25.887;A;$GPVTG,096.5,T,083.5,M,0.0,N,0.0,K,D*22
00:00:25.971;A;$GPGSA,A,2,04,09,07,24,02,05,26,,,,,,,1.1,*3C
00:00:26.179;I;$POSMGYR,-524,4,17764*78
00:00:26.179;I;$POSMACC,-618,-366,6*56
00:00:26.177;I;$POSMVCC,4918*7F
00:00:26.072;A;$GPGSV,2,1,07,04,62,120,47,09,52,292,53,07,42,044,41,24,38,179,45*7B
00:00:26.217;A;$GPGSV,2,2,07,02,34,101,43,05,18,304,40,26,09,223,36,,,,*48
00:00:26.343;A;$PRAYA,6,1,122,0,0,2,36,1,1,,,,,*5A
00:00:26.421;A;$GPDTM,W84,,0.000000,N,0.000000,E,0.0,W84*6F
00:00:26.516;A;$GPGGA,171538,3350.974,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*19
00:00:26.657;A;$GPGGA,171537,3350.975,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*17
00:00:26.799;A;$GPGLL,3350.975,N,11823.991,W,171537,A,D*50
00:00:26.896;A;$GPRMC,171537,A,3350.975,N,11823.991,W,0.0,096.5,060401,013.0,E,D*07
00:00:27.039;A;$GPVTG,096.5,T,083.5,M,0.0,N,0.0,K,D*22
00:00:27.181;I;$POSMGYR,-524,-60,17632*65
00:00:27.181;I;$POSMACC,-635,-369,32*61
00:00:27.179;I;$POSMVCC,4876*76
00:00:27.123;A;$GPGSA,A,2,04,09,07,24,02,05,26,,,,,,,1.1,*3C
00:00:27.224;A;$GPGSV,2,1,07,04,62,120,47,09,52,292,53,07,42,044,41,24,38,179,45*7B
00:00:27.369;A;$GPGSV,2,2,07,02,34,101,43,05,18,304,40,26,09,223,36,,,,*48
00:00:27.496;A;$PRAYA,6,1,122,0,0,2,36,1,1,,,,,*5A
00:00:27.649;I;$POSMVCC,4855*77
00:00:27.651;I;$POSMSO,Stop NMEA Logger*3A
